x	corrected z
446.4660766	0
441.5937328	0.48
436.7830072	1.06
431.627329	1.9683
426.5686562	2.5146
421.5385354	3.7719
416.6100516	4.7021
411.5954584	5.4086
406.5880517	6.1752
401.5536466	6.8282
396.6227499	7.6469
391.7126191	8.0813
386.6722132	8.4322
381.6065967	8.889
376.60599	9.2449
371.7229337	9.611
366.6081897	10.1713
361.6401236	10.7256
356.6404298	11.2703
351.6726126	11.8337
346.6287459	12.3061
340.8050822	12.8383
335.6734713	13.2529
330.7836106	13.8372
326.6296445	14.3224
321.6913644	15.3807
316.7750678	16.0048
311.7220496	16.7859
306.6452829	17.4633
301.6944942	18.576
296.6950864	19.5373
291.8154469	20.24
286.8821102	20.8852
281.926332	21.5398
277.0165128	22.4093
271.980853	23.5279
266.935437	24.4024
261.9809092	24.9703
257.0802026	25.5672
251.9870239	26.1639
247.2961585	27.2497
242.5493041	28.2734
208.2474105	30.5896
201.6968128	31.7691
196.3614745	33.9065
193.4781372	34.7028
190.5483627	34.7891
179.4203164	38.1521
174.2619358	40.6075
169.7718205	42.7754
164.7791556	44.8421
158.739594	47.58
150.6840618	49.2187
144.7840053	45.8997
136.8554222	51.6202
130.3455817	51.0942
124.4258023	54.3647
118.5422168	54.3748
113.043007	53.4748
97.80700195	54.6905
92.48667892	56.4897
85.69996427	55.6325
81.40658039	54.9329
75.05358948	59.3338
69.84237498	61.3449
64.44041157	63.0051
45.14061253	67.9511
39.45773053	71.2813
34.86481649	70.6186
30.1436829	72.5752
22.50661319	72.6556
17.75790723	75.5793
11.405215	78.8497
6.676388716	81.3918
0	86.7172
