x	z
0	86.7172
6.676388716	81.3918
11.405215	78.8497
17.75790723	75.5793
22.50661319	72.6556
30.1436829	72.5752
34.86481649	70.6186
39.45773053	71.2813
45.14061253	67.9511
64.44041157	63.0051
69.84237498	61.3449
75.05358948	59.3338
81.40658039	54.9329
85.69996427	55.6325
92.48667892	56.4897
97.80700195	54.6905
113.043007	53.4748
118.5422168	54.3748
124.4258023	54.3647
130.3455817	51.0942
136.8554222	51.6202
144.7840053	45.8997
150.6840618	49.2187
158.739594	47.58
164.7791556	44.8421
169.7718205	42.7754
174.2619358	40.6075
179.4203164	38.1521
190.5483627	34.7891
193.4781372	34.7028
196.3614745	33.9065
201.6968128	31.7691
208.2474105	30.5896
242.5493041	28.2734
247.2961585	27.2497
251.9870239	26.1639
257.0802026	25.5672
261.9809092	24.9703
266.935437	24.4024
271.980853	23.5279
277.0165128	22.4093
281.926332	21.5398
286.8821102	20.8852
291.8154469	20.24
296.6950864	19.5373
301.6944942	18.576
306.6452829	17.4633
311.7220496	16.7859
316.7750678	16.0048
321.6913644	15.3807
326.6296445	14.3224
330.7836106	13.8372
335.6734713	13.2529
340.8050822	12.8383
346.6287459	12.3061
351.6726126	11.8337
356.6404298	11.2703
361.6401236	10.7256
366.6081897	10.1713
371.7229337	9.611
376.60599	9.2449
381.6065967	8.889
386.6722132	8.4322
391.7126191	8.0813
396.6227499	7.6469
401.5536466	6.8282
406.5880517	6.1752
411.5954584	5.4086
416.6100516	4.7021
421.5385354	3.7719
426.5686562	2.5146
431.627329	1.9683
436.7830072	1.06
441.5937328	0.48
446.4660766	0
