x	z
0	66.7507
3.679505931	67.4758
7.594880525	65.695
15.9187845	70.5483
28.92768361	61.4709
43.15125717	57.5547
50.40120696	62.0805
53.65085911	61.6358
57.04690461	61.2616
60.18532679	59.9423
66.01587801	54.1426
68.98678603	54.1537
73.02146002	56.617
76.68826812	54.0251
84.62280813	61.1247
93.61005573	57.8977
99.33519478	53.7714
103.8327674	56.2343
114.8927541	48.8987
118.6145691	46.9433
136.8823142	42.2268
146.3884918	43.9324
149.4813155	44.3843
151.9904048	43.4239
154.5192761	41.9572
160.7150893	46.0105
163.775169	46.3921
172.9304308	38.2934
176.1798837	37.9526
183.8190236	42.7448
186.564481	41.9622
190.1928988	39.8313
193.781936	37.9778
202.6262112	31.0927
205.6123039	30.7017
221.2706049	42.5815
224.3500538	41.487
226.880607	40.5928
238.6992418	29.789
241.7138078	29.3122
244.8309553	27.9825
247.9799155	27.6691
251.0349403	26.4936
254.9269929	23.4953
257.8201873	23.251
263.9879492	26.8808
270.0101435	21.5126
273.1667217	20.1864
276.1306735	19.7613
280.0682363	16.6404
283.5290071	14.1265
287.228982	12.2713
291.4856796	14.784
294.3053239	14.2879
297.1260808	13.1747
302.2003368	8.7235
305.126298	8.0136
308.0028069	7.4598
311.1856503	7.4068
314.250925	5.8072
317.5792339	3.6222
321.172545	1.5912
324.9867099	2.4109
347.1620656	2.4717
350.0011545	1.8988
356.7696015	0
