x	z
0	36.29
1.734831243	35.8964
9.361725962	29.7784
16.24068778	27.3869
22.46694611	31.44
24.56711092	30.908
27.33420152	32.0254
34.51080787	25.1083
37.93312509	27.5146
40.85005266	24.9363
43.96917985	24.8337
48.25135187	22.8439
50.73425446	22.3841
54.84654765	21.4877
65.93630457	25.4961
68.50406464	25.5497
76.75022049	18.4378
79.30019638	20.2211
84.15412883	17.0213
86.94399441	15.9036
97.25372801	15.8439
122.4190987	14.8129
126.2908439	10.9463
141.1554713	11.911
153.5173832	12.9777
166.8239659	12.4993
178.7553754	10.9928
191.4271122	5.6334
205.9156457	0
