Project15	Dipole-Dipole_1								
5									
11									
3									
Type	of	measurement	"(0=app.resistivity,1=resistance)"						
1									
2094									
2									
0									
4	300	0	270	0	30	0	60	0	2.87E-05
4	400	0	370	0	130	0	160	0	8.52E-05
4	400	0	370	0	190	0	220	0	9.12E-05
4	400	0	350	0	100	0	150	0	0.000135561
4	400	0	350	0	200	0	250	0	0.000139417
4	400	0	370	0	160	0	190	0	0.000163781
4	300	0	270	0	0	0	30	0	0.000190514
4	290	0	250	0	10	0	50	0	0.000202484
4	400	0	350	0	200	0	250	0	0.000206816
4	400	0	370	0	160	0	190	0	0.000254625
4	290	0	260	0	20	0	50	0	0.000267184
4	300	0	270	0	60	0	90	0	0.000286019
4	400	0	360	0	80	0	120	0	0.000287917
4	400	0	350	0	150	0	200	0	0.000319806
4	400	0	360	0	0	0	40	0	0.000322019
4	290	0	270	0	90	0	110	0	0.00034912
4	400	0	350	0	0	0	50	0	0.000369882
4	400	0	350	0	0	0	50	0	0.00040091
4	290	0	260	0	80	0	110	0	0.00043396
4	290	0	260	0	50	0	80	0	0.000440572
4	400	0	350	0	100	0	150	0	0.000457138
4	400	0	370	0	250	0	280	0	0.000491002
4	290	0	250	0	90	0	130	0	0.000515555
4	400	0	350	0	50	0	100	0	0.000519829
4	400	0	350	0	150	0	200	0	0.000590577
4	400	0	360	0	160	0	200	0	0.000659138
4	300	0	250	0	0	0	50	0	0.000694546
4	300	0	260	0	60	0	100	0	0.000747258
4	275	0	270	0	235	0	240	0	0.000778523
4	280	0	275	0	230	0	235	0	0.000807226
4	290	0	260	0	110	0	140	0	0.000839659
4	400	0	360	0	40	0	80	0	0.000884328
4	400	0	360	0	120	0	160	0	0.000885852
4	300	0	280	0	160	0	180	0	0.000936162
4	400	0	360	0	200	0	240	0	0.000973791
4	400	0	360	0	160	0	200	0	0.00102392
4	400	0	360	0	240	0	280	0	0.00122121
4	290	0	250	0	50	0	90	0	0.00128818
4	400	0	370	0	250	0	280	0	0.00139722
4	290	0	270	0	90	0	110	0	0.00148584
4	290	0	240	0	40	0	90	0	0.00160907
4	300	0	290	0	210	0	220	0	0.00166268
4	300	0	260	0	140	0	180	0	0.00174811
4	290	0	280	0	200	0	210	0	0.00214634
4	275	0	270	0	225	0	230	0	0.00214691
4	270	0	250	0	70	0	90	0	0.00214698
4	280	0	260	0	80	0	100	0	0.00216839
4	290	0	240	0	90	0	140	0	0.00266978
4	280	0	260	0	80	0	100	0	0.00308031
4	290	0	270	0	90	0	110	0	0.00320095
4	270	0	250	0	90	0	110	0	0.00333669
4	300	0	270	0	0	0	30	0	0.00364104
4	290	0	270	0	150	0	170	0	0.00379848
4	300	0	270	0	0	0	30	0	0.00401243
4	260	0	240	0	80	0	100	0	0.00429599
4	270	0	240	0	0	0	30	0	0.00466814
4	280	0	250	0	10	0	40	0	0.0047406
4	280	0	260	0	100	0	120	0	0.00493569
4	290	0	260	0	80	0	110	0	0.00495128
4	290	0	260	0	20	0	50	0	0.00524702
4	270	0	250	0	90	0	110	0	0.00525135
4	400	0	350	0	250	0	300	0	0.00534766
4	280	0	250	0	40	0	70	0	0.00550059
4	280	0	260	0	100	0	120	0	0.00561757
4	250	0	230	0	50	0	70	0	0.00562596
4	260	0	240	0	60	0	80	0	0.00566007
4	270	0	240	0	0	0	30	0	0.00569428
4	280	0	250	0	10	0	40	0	0.00573468
4	300	0	280	0	100	0	120	0	0.00575737
4	300	0	270	0	30	0	60	0	0.00581002
4	270	0	250	0	70	0	90	0	0.00590333
4	300	0	290	0	200	0	210	0	0.0059123
4	300	0	270	0	30	0	60	0	0.00595525
4	260	0	240	0	80	0	100	0	0.00603275
4	400	0	380	0	200	0	220	0	0.00608587
4	290	0	260	0	80	0	110	0	0.00616017
4	300	0	280	0	100	0	120	0	0.0062392
4	260	0	240	0	60	0	80	0	0.00625331
4	290	0	260	0	20	0	50	0	0.0063417
4	270	0	260	0	170	0	180	0	0.00651898
4	280	0	270	0	180	0	190	0	0.00701826
4	280	0	250	0	70	0	100	0	0.00703189
4	250	0	230	0	50	0	70	0	0.0070498
4	300	0	250	0	100	0	150	0	0.00710884
4	290	0	280	0	190	0	200	0	0.00714362
4	290	0	270	0	110	0	130	0	0.00724013
4	290	0	270	0	110	0	130	0	0.00744726
4	250	0	240	0	150	0	160	0	0.0074705
4	390	0	370	0	210	0	230	0	0.00748152
4	300	0	270	0	60	0	90	0	0.00750116
4	280	0	250	0	70	0	100	0	0.00767975
4	270	0	240	0	30	0	60	0	0.0077009
4	290	0	260	0	50	0	80	0	0.00787068
4	300	0	290	0	210	0	220	0	0.00796952
4	290	0	260	0	50	0	80	0	0.00802315
4	280	0	260	0	120	0	140	0	0.00808715
4	280	0	250	0	40	0	70	0	0.00809048
4	270	0	250	0	110	0	130	0	0.00812392
4	280	0	270	0	180	0	190	0	0.00853853
4	270	0	240	0	30	0	60	0	0.00860288
4	310	0	300	0	210	0	220	0	0.00865561
4	400	0	380	0	220	0	240	0	0.00878887
4	250	0	230	0	70	0	90	0	0.00879187
4	400	0	360	0	240	0	280	0	0.00881057
4	260	0	250	0	160	0	170	0	0.00881478
4	300	0	270	0	90	0	120	0	0.00892031
4	300	0	270	0	60	0	90	0	0.00899028
4	240	0	220	0	40	0	60	0	0.0089919
4	260	0	230	0	20	0	50	0	0.00903691
4	250	0	240	0	150	0	160	0	0.00906775
4	280	0	260	0	120	0	140	0	0.00910308
4	250	0	230	0	70	0	90	0	0.00913478
4	300	0	250	0	150	0	200	0	0.00917033
4	330	0	320	0	230	0	240	0	0.00920053
4	260	0	230	0	20	0	50	0	0.00920527
4	260	0	240	0	100	0	120	0	0.00924248
4	370	0	350	0	210	0	230	0	0.00933217
4	240	0	220	0	40	0	60	0	0.00956419
4	380	0	360	0	200	0	220	0	0.00964619
4	250	0	230	0	90	0	110	0	0.00965527
4	300	0	270	0	90	0	120	0	0.00966767
4	280	0	270	0	190	0	200	0	0.0097055
4	270	0	250	0	110	0	130	0	0.00980321
4	290	0	280	0	190	0	200	0	0.0100036
4	290	0	250	0	10	0	50	0	0.0100729
4	280	0	240	0	0	0	40	0	0.0100814
4	280	0	240	0	0	0	40	0	0.0101792
4	290	0	270	0	130	0	150	0	0.0101819
4	290	0	250	0	10	0	50	0	0.0102656
4	260	0	250	0	160	0	170	0	0.0104336
4	250	0	230	0	90	0	110	0	0.0106759
4	300	0	280	0	120	0	140	0	0.0107492
4	300	0	280	0	120	0	140	0	0.0107708
4	340	0	330	0	240	0	250	0	0.0107755
4	300	0	260	0	20	0	60	0	0.0108222
4	320	0	310	0	220	0	230	0	0.0109489
4	270	0	260	0	170	0	180	0	0.0109635
4	270	0	240	0	60	0	90	0	0.0109972
4	300	0	260	0	20	0	60	0	0.0110504
4	260	0	240	0	100	0	120	0	0.0111356
4	300	0	260	0	60	0	100	0	0.0111626
4	360	0	340	0	200	0	220	0	0.0113205
4	380	0	360	0	220	0	240	0	0.0114998
4	270	0	240	0	60	0	90	0	0.0116985
4	250	0	220	0	10	0	40	0	0.0117293
4	230	0	210	0	30	0	50	0	0.0118745
4	390	0	370	0	230	0	250	0	0.0119643
4	240	0	220	0	60	0	80	0	0.0120488
4	250	0	240	0	160	0	170	0	0.0121068
4	320	0	300	0	200	0	220	0	0.0121712
4	240	0	220	0	60	0	80	0	0.0123017
4	400	0	350	0	250	0	300	0	0.0123354
4	300	0	260	0	60	0	100	0	0.0123886
4	290	0	270	0	130	0	150	0	0.0125125
4	290	0	280	0	200	0	210	0	0.012802
4	260	0	230	0	50	0	80	0	0.0128885
4	250	0	240	0	160	0	170	0	0.0129054
4	270	0	265	0	220	0	225	0	0.0129609
4	230	0	210	0	30	0	50	0	0.0129728
4	320	0	310	0	230	0	240	0	0.0130459
4	300	0	290	0	200	0	210	0	0.0131994
4	300	0	280	0	140	0	160	0	0.0132187
4	250	0	220	0	10	0	40	0	0.0134976
4	260	0	250	0	170	0	180	0	0.0135844
4	290	0	280	0	210	0	220	0	0.0138209
4	330	0	320	0	240	0	250	0	0.0138949
4	300	0	280	0	140	0	160	0	0.0139318
